Sr. No.,Pl. Name,Price,Sold to
1,Avanish Rao Aravelly ,2000000, Chennai Super Kings
2,Mustafizur Rahman ,20000000, Chennai Super Kings
3,Daryl Mitchell ,140000000, Chennai Super Kings
4,Sameer Rizvi ,84000000, Chennai Super Kings
5,Rachin Ravindra ,18000000, Chennai Super Kings
6,Shardul Thakur ,40000000, Chennai Super Kings
1,Ricky Bhui ,2000000, Delhi Capitals
2,Sumit Kumar ,10000000, Delhi Capitals
3,Swastik Chhikara ,2000000, Delhi Capitals
4,Jhye Richardson ,50000000, Delhi Capitals
5,Shai Hope ,7500000, Delhi Capitals
6,Rasikh Dar ,2000000, Delhi Capitals
7,Kumar Kushagra ,72000000, Delhi Capitals
8,Tristan Stubbs ,5000000, Delhi Capitals
9,Harry Brook ,40000000, Delhi Capitals
1,Kartik Tyagi ,6000000, Gujarat Titans
2,Spencer Johnson ,100000000, Gujarat Titans
3,Manav Suthar ,2000000, Gujarat Titans
4,Robin Minz ,36000000, Gujarat Titans
5,Sushant Mishra ,22000000, Gujarat Titans
6,Azmatullah Omarzai ,5000000, Gujarat Titans
7,Shahrukh Khan ,74000000, Gujarat Titans
8,Umesh Yadav ,58000000, Gujarat Titans
1,Mujeeb Rahman ,20000000, Kolkata Knight Riders
2,Manish Pandey ,5000000, Kolkata Knight Riders
3,Gus Atkinson ,10000000, Kolkata Knight Riders
4,Angkrish Raghuvanshi ,2000000, Kolkata Knight Riders
5,Mitchell  Starc ,247500000, Kolkata Knight Riders
6,Sherfane Rutherford ,15000000, Kolkata Knight Riders
7,Ramandeep  Singh ,2000000, Kolkata Knight Riders
8,K.S. Bharat ,5000000, Kolkata Knight Riders
9,Chetan Sakariya ,5000000, Kolkata Knight Riders
10,Sakib Hussain ,2000000, Kolkata Knight Riders
1,Ashton Turner ,10000000, Lucknow Super Giants
2,David Willey  ,20000000, Lucknow Super Giants
3,M. Siddharth ,24000000, Lucknow Super Giants
4,Shivam  Mavi ,64000000, Lucknow Super Giants
5,Arshin Kulkarni ,2000000, Lucknow Super Giants
6,Mohd. Arshad Khan ,2000000, Lucknow Super Giants
1,Dilshan Madushanka ,46000000, Mumbai Indians
2,Shreyas Gopal ,2000000, Mumbai Indians
3,Shivalik Sharma ,2000000, Mumbai Indians
4,Anshul Kamboj ,2000000, Mumbai Indians
5,Mohammad Nabi ,15000000, Mumbai Indians
6,Naman Dhir ,2000000, Mumbai Indians
7,Nuwan Thushara ,48000000, Mumbai Indians
8,Gerald Coetzee ,50000000, Mumbai Indians
1,Chris Woakes  ,42000000, Punjab Kings
2,Tanay Thyagarajann ,2000000, Punjab Kings
3,Vishwanath Pratap Singh ,2000000, Punjab Kings
4,Ashutosh Sharma ,2000000, Punjab Kings
5,Shashank  Singh ,2000000, Punjab Kings
6,Rilee Rossouw ,80000000, Punjab Kings
7,Prince Choudhary ,2000000, Punjab Kings
8,Harshal Patel ,117500000, Punjab Kings
1,Shubham Dubey ,58000000, Rajasthan Royals
2,Rovman Powell ,74000000, Rajasthan Royals
3,Abid Mushtaq ,2000000, Rajasthan Royals
4,Nandre Burger ,5000000, Rajasthan Royals
5,Tom Kohler-Cadmore ,4000000, Rajasthan Royals
1,Lockie Ferguson ,20000000, Royal Challengers Bengaluru
2,Tom Curran ,15000000, Royal Challengers Bengaluru
3,Saurav Chuahan ,2000000, Royal Challengers Bengaluru
4,Alzarri Joseph ,115000000, Royal Challengers Bengaluru
5,Swapnil Singh ,2000000, Royal Challengers Bengaluru
6,Yash  Dayal ,50000000, Royal Challengers Bengaluru
1,Jhathavedh Subramanyan ,2000000, Sunrisers Hyderabad
2,Akash Singh ,2000000, Sunrisers Hyderabad
3,Jaydev Unadkat ,16000000, Sunrisers Hyderabad
4,Wanindu Hasaranga ,15000000, Sunrisers Hyderabad
5,Pat Cummins ,205000000, Sunrisers Hyderabad
6,Travis Head ,68000000, Sunrisers Hyderabad
